Temperature,Year,Month,ISO3
-0.0311,1991,Jan,AFG
1.43654,1991,Feb,AFG
6.88685,1991,Mar,AFG
12.9397,1991,Apr,AFG
17.0755,1991,May,AFG
23.0777,1991,Jun,AFG
25.571,1991,Jul,AFG
23.9673,1991,Aug,AFG
19.38,1991,Sep,AFG
12.8779,1991,Oct,AFG
7.31675,1991,Nov,AFG
4.23571,1991,Dec,AFG
0.74637,1992,Jan,AFG
2.46018,1992,Feb,AFG
5.71341,1992,Mar,AFG
11.6926,1992,Apr,AFG
16.1108,1992,May,AFG
22.8875,1992,Jun,AFG
24.7068,1992,Jul,AFG
22.8633,1992,Aug,AFG
17.8588,1992,Sep,AFG
12.6981,1992,Oct,AFG
8.32035,1992,Nov,AFG
4.47636,1992,Dec,AFG
-0.0835,1993,Jan,AFG
4.33465,1993,Feb,AFG
6.12034,1993,Mar,AFG
13.3735,1993,Apr,AFG
18.7452,1993,May,AFG
22.888,1993,Jun,AFG
24.632,1993,Jul,AFG
23.3201,1993,Aug,AFG
19.6343,1993,Sep,AFG
12.0373,1993,Oct,AFG
7.40369,1993,Nov,AFG
3.32008,1993,Dec,AFG
1.11415,1994,Jan,AFG
1.14112,1994,Feb,AFG
8.97734,1994,Mar,AFG
11.9926,1994,Apr,AFG
18.6745,1994,May,AFG
23.8788,1994,Jun,AFG
25.0045,1994,Jul,AFG
24.5555,1994,Aug,AFG
17.101,1994,Sep,AFG
12.5059,1994,Oct,AFG
9.5064,1994,Nov,AFG
2.50841,1994,Dec,AFG
0.92358,1995,Jan,AFG
2.96133,1995,Feb,AFG
6.36893,1995,Mar,AFG
12.2676,1995,Apr,AFG
18.1187,1995,May,AFG
23.4941,1995,Jun,AFG
25.7798,1995,Jul,AFG
24.376,1995,Aug,AFG
19.0225,1995,Sep,AFG
13.5466,1995,Oct,AFG
7.86943,1995,Nov,AFG
1.76217,1995,Dec,AFG
-0.4884,1996,Jan,AFG
2.86922,1996,Feb,AFG
7.29518,1996,Mar,AFG
13.2754,1996,Apr,AFG
17.2489,1996,May,AFG
22.8459,1996,Jun,AFG
24.7896,1996,Jul,AFG
23.3293,1996,Aug,AFG
20.2124,1996,Sep,AFG
12.8698,1996,Oct,AFG
5.62819,1996,Nov,AFG
3.12772,1996,Dec,AFG
1.08346,1997,Jan,AFG
2.14471,1997,Feb,AFG
6.98142,1997,Mar,AFG
12.498,1997,Apr,AFG
16.4327,1997,May,AFG
23.3475,1997,Jun,AFG
26,1997,Jul,AFG
23.9246,1997,Aug,AFG
19.8114,1997,Sep,AFG
14.2275,1997,Oct,AFG
5.86869,1997,Nov,AFG
2.09488,1997,Dec,AFG
0.37702,1998,Jan,AFG
1.63968,1998,Feb,AFG
7.0112,1998,Mar,AFG
14.8399,1998,Apr,AFG
18.3174,1998,May,AFG
22.6717,1998,Jun,AFG
25.7497,1998,Jul,AFG
24.2609,1998,Aug,AFG
19.7355,1998,Sep,AFG
14.2675,1998,Oct,AFG
7.85273,1998,Nov,AFG
4.55596,1998,Dec,AFG
0.53312,1999,Jan,AFG
4.96015,1999,Feb,AFG
7.70394,1999,Mar,AFG
14.4679,1999,Apr,AFG
19.0676,1999,May,AFG
24.0798,1999,Jun,AFG
