Temperature,Year,Month,ISO3
0.18633,1931,Jan,AFG
-2.6327,1931,Feb,AFG
7.64379,1931,Mar,AFG
14.2446,1931,Apr,AFG
16.545,1931,May,AFG
21.5451,1931,Jun,AFG
24.2599,1931,Jul,AFG
24.5102,1931,Aug,AFG
19.5723,1931,Sep,AFG
12.7591,1931,Oct,AFG
5.60332,1931,Nov,AFG
1.27799,1931,Dec,AFG
0.63495,1932,Jan,AFG
2.71495,1932,Feb,AFG
8.15216,1932,Mar,AFG
14.8527,1932,Apr,AFG
16.8344,1932,May,AFG
22.7501,1932,Jun,AFG
25.4726,1932,Jul,AFG
22.5658,1932,Aug,AFG
19.0288,1932,Sep,AFG
11.8948,1932,Oct,AFG
5.62468,1932,Nov,AFG
-1.4281,1932,Dec,AFG
-3.0645,1933,Jan,AFG
2.96393,1933,Feb,AFG
5.4081,1933,Mar,AFG
11.854,1933,Apr,AFG
18.6674,1933,May,AFG
22.8752,1933,Jun,AFG
25.933,1933,Jul,AFG
23.6693,1933,Aug,AFG
18.1718,1933,Sep,AFG
12.493,1933,Oct,AFG
7.33607,1933,Nov,AFG
3.55236,1933,Dec,AFG
-4.8483,1934,Jan,AFG
4.53424,1934,Feb,AFG
6.77267,1934,Mar,AFG
12.21,1934,Apr,AFG
15.3134,1934,May,AFG
23.1446,1934,Jun,AFG
24.7089,1934,Jul,AFG
24.3148,1934,Aug,AFG
18.2132,1934,Sep,AFG
11.8668,1934,Oct,AFG
5.13415,1934,Nov,AFG
2.91487,1934,Dec,AFG
-3.1749,1935,Jan,AFG
3.40372,1935,Feb,AFG
7.33223,1935,Mar,AFG
11.8209,1935,Apr,AFG
17.1423,1935,May,AFG
21.042,1935,Jun,AFG
24.8838,1935,Jul,AFG
24.2863,1935,Aug,AFG
18.5262,1935,Sep,AFG
12.7056,1935,Oct,AFG
5.13568,1935,Nov,AFG
1.69046,1935,Dec,AFG
-1.377,1936,Jan,AFG
3.61339,1936,Feb,AFG
5.18336,1936,Mar,AFG
12.2646,1936,Apr,AFG
19.9217,1936,May,AFG
23.7605,1936,Jun,AFG
24.9671,1936,Jul,AFG
23.4601,1936,Aug,AFG
19.8333,1936,Sep,AFG
14.7931,1936,Oct,AFG
6.28059,1936,Nov,AFG
0.8128,1936,Dec,AFG
-2.2414,1937,Jan,AFG
2.7211,1937,Feb,AFG
4.95076,1937,Mar,AFG
10.8898,1937,Apr,AFG
18.2891,1937,May,AFG
23.3773,1937,Jun,AFG
25.4416,1937,Jul,AFG
24.3876,1937,Aug,AFG
19.2397,1937,Sep,AFG
12.1497,1937,Oct,AFG
5.32412,1937,Nov,AFG
0.70613,1937,Dec,AFG
0.79394,1938,Jan,AFG
2.77639,1938,Feb,AFG
6.21646,1938,Mar,AFG
14.3674,1938,Apr,AFG
20.6008,1938,May,AFG
22.2836,1938,Jun,AFG
24.3969,1938,Jul,AFG
23.846,1938,Aug,AFG
18.7434,1938,Sep,AFG
12.7521,1938,Oct,AFG
5.12986,1938,Nov,AFG
2.20074,1938,Dec,AFG
1.1556,1939,Jan,AFG
2.03543,1939,Feb,AFG
5.09357,1939,Mar,AFG
10.0518,1939,Apr,AFG
17.6742,1939,May,AFG
24.4846,1939,Jun,AFG
25.1596,1939,Jul,AFG
23.7335,1939,Aug,AFG
19.7633,1939,Sep,AFG
13.3526,1939,Oct,AFG
7.68502,1939,Nov,AFG
4.869,1939,Dec,AFG
2.11452,1940,Jan,AFG
4.17434,1940,Feb,AFG
5.67578,1940,Mar,AFG
13.2806,1940,Apr,AFG
18.2911,1940,May,AFG
23.9365,1940,Jun,AFG
